,country,year,co2,co2_per_gdp,share_global_co2,co2_per_capita,co2_per_unit_energy,primary_energy_consumption,energy_per_capita,energy_per_gdp,population,gdp,group1,group2,group3,group4,group5,growth_co2,growth_primary_energy,growth_pop,growth_co2_per_gdp,growth_co2_per_capita,growth_energy_per_gdp,growth_energy_per_capita
64,Belgium,2000,126.735,0.369,0.505,12.326,0.17,744.971,72453.921,2.172,10282000.0,343000000000.0,0.0,1.0,0.0,1.0,0.0,0.05341246290801189,0.19967180854747094,0.0274807634655741,-0.27647058823529413,0.02520169674789993,0.1675861682319559,-0.1744583808437855
65,Belgium,2001,126.085,0.368,0.498,12.219,0.17,739.983,71710.752,2.157,10319000.0,343000000000.0,0.0,1.0,0.0,1.0,0.0,0.04800970833437229,0.19163933079862588,0.031178175277305886,-0.2784313725490196,0.01630208766530814,0.15561008973844298,-0.18015963511972627
66,Belgium,2002,126.879,0.354,0.49,12.241,0.172,737.653,71167.681,2.06,10365000.0,358000000000.0,0.0,1.0,0.0,1.0,0.0,0.05460938084432592,0.18788719103222487,0.03577495752972919,-0.3058823529411765,0.01813191383182234,0.14685856629821545,-0.21702774610414283
67,Belgium,2003,128.275,0.36,0.472,12.312,0.167,766.575,73574.679,2.153,10419000.0,356000000000.0,0.0,1.0,0.0,1.0,0.0,0.06621283528248101,0.23446203494804171,0.04117118017387829,-0.2941176470588236,0.024037261914663537,0.18564704776303487,-0.18167996959331045
68,Belgium,2004,128.805,0.357,0.452,12.291,0.167,770.013,73474.57,2.133,10480000.0,361000000000.0,0.0,1.0,0.0,1.0,0.0,0.07061815824252557,0.2399984540540018,0.04726691316078745,-0.30000000000000004,0.022290609664809172,0.18403380334365377,-0.1892816419612314
69,Belgium,2005,125.662,0.34,0.427,11.914,0.164,764.843,72517.574,2.067,10547000.0,370000000000.0,0.0,1.0,0.0,1.0,0.0,0.044493761896450046,0.2316728907096696,0.05396222644149096,-0.3333333333333333,-0.00906595691591117,0.16861192862339777,-0.21436716077537046
70,Belgium,2006,123.906,0.335,0.408,11.668,0.161,768.22,72343.881,2.076,10619000.0,370000000000.0,0.0,1.0,0.0,1.0,0.0,0.029898012617509982,0.23711107783032917,0.06115718996702309,-0.34313725490196073,-0.02952674041420614,0.16581288694946666,-0.21094640820980606
71,Belgium,2007,120.496,0.315,0.385,11.263,0.156,774.584,72404.57,2.028,10698000.0,382000000000.0,0.0,1.0,0.0,1.0,0.0,0.0015543309311855107,0.24735941150988985,0.06905166383531527,-0.3823529411764706,-0.06321217666139897,0.16679088283962482,-0.22919042189281635
72,Belgium,2008,120.203,0.307,0.376,11.152,0.153,787.545,73062.91,2.009,10779000.0,392000000000.0,0.0,1.0,0.0,1.0,0.0,-0.0008810645920088651,0.2682312928456516,0.07714599780153893,-0.39803921568627454,-0.07244448141062966,0.17739995226450553,-0.2364120106423413
73,Belgium,2009,107.743,0.268,0.342,9.921,0.146,737.232,67885.123,1.834,10860000.0,402000000000.0,0.0,1.0,0.0,1.0,0.0,-0.10444771380362236,0.18720922929760897,0.08524033176776256,-0.4745098039215686,-0.17483157281876407,0.09396054139740793,-0.30292664386164947
74,Belgium,2010,114.561,0.273,0.346,10.473,0.146,785.359,71794.363,1.87,10939000.0,420000000000.0,0.0,1.0,0.0,1.0,0.0,-0.04777697429120008,0.26471104497897674,0.09313480563605477,-0.46470588235294114,-0.12891957082258995,0.15695747088448264,-0.28924363359939176
75,Belgium,2011,105.046,0.251,0.307,9.538,0.143,732.838,66536.996,1.749,11014000.0,419000000000.0,0.0,1.0,0.0,1.0,0.0,-0.12686498931916973,0.18013330563513408,0.10062955930848407,-0.5078431372549019,-0.20668718289944268,0.07223563794849658,-0.3352337514253135
76,Belgium,2012,102.429,0.238,0.295,9.24,0.145,705.989,63688.674,1.642,11085000.0,430000000000.0,0.0,1.0,0.0,1.0,0.0,-0.1486173104256539,0.13689673885912404,0.10772459278505046,-0.5333333333333333,-0.2314730100640439,0.026335273634593117,-0.3759026985936906
77,Belgium,2013,102.674,0.234,0.293,9.205,0.142,723.779,64889.659,1.652,11154000.0,438000000000.0,0.0,1.0,0.0,1.0,0.0,-0.14658088754789741,0.16554505063778316,0.11461976616368542,-0.5411764705882354,-0.23438409714713462,0.04568900156125779,-0.37210186240973014
78,Belgium,2014,96.811,0.222,0.275,8.628,0.143,676.46,60285.222,1.548,11221000.0,437000000000.0,0.0,1.0,0.0,1.0,0.0,-0.1953137338021261,0.08934440617154524,0.12131507944438893,-0.5647058823529413,-0.282375447059802,-0.028510943445106185,-0.411630558722919
79,Belgium,2015,100.981,0.228,0.287,8.946,0.147,687.509,60906.147,1.552,11288000.0,443000000000.0,0.0,1.0,0.0,1.0,0.0,-0.16065298522970023,0.10713727839427738,0.12801039272509243,-0.5529411764705883,-0.25592614156200616,-0.01850481221710236,-0.4101102242493348
80,Belgium,2016,99.807,0.223,0.283,8.79,0.134,742.772,65419.394,1.658,11354000.0,448000000000.0,0.0,1.0,0.0,1.0,0.0,-0.1704111911827045,0.19613062599540404,0.1346057759568302,-0.5627450980392157,-0.26890127256092494,0.05422561697546506,-0.36982136069935384
81,Brazil,1990,206.921,0.242,0.912,1.389,0.142,1457.751,9783.369,1.707,149003008.0,854000000000.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Brazil,1991,217.228,0.24,0.938,1.432,0.144,1513.395,9979.657,1.669,151648000.0,907000000000.0,1.0,0.0,1.0,0.0,1.0,0.04981128063367187,0.03817112799099435,0.017751265799949487,-0.008264462809917363,0.030957523398128097,0.020063436225291987,-0.022261277094317536
83,Brazil,1992,218.383,0.233,0.973,1.416,0.138,1584.635,10272.558,1.689,154259008.0,938000000000.0,1.0,0.0,1.0,0.0,1.0,0.05539312104619646,0.08704092811460944,0.035274455667364785,-0.03719008264462802,0.019438444924405985,0.05000210050341557,-0.010544815465729359
84,Brazil,1993,228.333,0.226,1.007,1.456,0.138,1655.439,10554.349,1.639,156848992.0,1010000000000.0,1.0,0.0,1.0,0.0,1.0,0.10347910555236059,0.1356116373784001,0.05265654771211062,-0.06611570247933879,0.048236141108711265,0.07880516415153098,-0.0398359695371998
85,Brazil,1994,239.471,0.21,1.048,1.502,0.138,1740.38,10916.059,1.527,159432992.0,1140000000000.0,1.0,0.0,1.0,0.0,1.0,0.15730641162569295,0.19388016197553637,0.0699984794937831,-0.1322314049586777,0.08135349172066234,0.11577709069340006,-0.10544815465729358
86,Brazil,1995,255.584,0.194,1.095,1.577,0.14,1827.159,11277.365,1.384,162020000.0,1320000000000.0,1.0,0.0,1.0,0.0,1.0,0.23517670995210738,0.2534095329037676,0.08736059878737482,-0.19834710743801648,0.13534917206623467,0.15270772266690535,-0.189220855301699
87,Brazil,1996,281.195,0.178,1.169,1.708,0.146,1929.517,11721.392,1.221,164615008.0,1580000000000.0,1.0,0.0,1.0,0.0,1.0,0.35894858424229537,0.3236259141650392,0.10477640827224105,-0.2644628099173554,0.22966162706983437,0.1980936219414804,-0.28471001757469244
88,Brazil,1997,296.585,0.193,1.226,1.774,0.145,2039.912,12199.774,1.325,167208992.0,1540000000000.0,1.0,0.0,1.0,0.0,1.0,0.43332479545333724,0.3993555826749562,0.12218534541262416,-0.20247933884297517,0.27717782577393807,0.2469910927411609,-0.22378441710603403
89,Brazil,1998,308.306,0.208,1.279,1.816,0.146,2114.068,12451.443,1.428,169784992.0,1480000000000.0,1.0,0.0,1.0,0.0,1.0,0.4899696019253725,0.4502257244207003,0.13947358700302212,-0.14049586776859505,0.30741540676745865,0.27271525790348894,-0.163444639718805
90,Brazil,1999,316.282,0.22,1.295,1.835,0.147,2152.235,12489.827,1.495,172319008.0,1440000000000.0,1.0,0.0,1.0,0.0,1.0,0.5285157137264946,0.4764078364549228,0.15648006246961135,-0.09090909090909088,0.3210943124550036,0.2766386507551743,-0.12419449326303454
91,Brazil,2000,324.226,0.221,1.291,1.855,0.148,2187.356,12514.197,1.488,174790000.0,1470000000000.0,1.0,0.0,1.0,0.0,1.0,0.5669071771352352,0.5005004283996377,0.17306356660933986,-0.08677685950413219,0.3354931605471562,0.27912961271316655,-0.12829525483304047
92,Brazil,2001,332.987,0.228,1.314,1.879,0.155,2152.735,12148.891,1.474,177196000.0,1460000000000.0,1.0,0.0,1.0,0.0,1.0,0.6092470073119695,0.4767508305602261,0.18921089163515412,-0.05785123966942143,0.35277177825773937,0.24179012362714714,-0.13649677797305218
93,Brazil,2002,327.435,0.221,1.264,1.824,0.148,2207.49,12295.394,1.492,179538000.0,1480000000000.0,1.0,0.0,1.0,0.0,1.0,0.5824155112337559,0.5143121150319909,0.20492869513077214,-0.08677685950413219,0.31317494600431967,0.25676482201581063,-0.12595196250732282
94,Brazil,2003,317.508,0.215,1.168,1.746,0.141,2250.675,12379.34,1.521,181808992.0,1480000000000.0,1.0,0.0,1.0,0.0,1.0,0.534440680259616,0.5439365159070377,0.22016994448863744,-0.11157024793388429,0.2570194384449244,0.2653453018075879,-0.10896309314587004
