,index,Country,Year,GHG
518,17854,Australia,2015,45792.698
519,17855,Australia,2016,48448.807
520,17856,Australia,2017,51081.02
521,17857,Australia,2018,54449.833
522,18525,Australia,1990,61394.558
523,18526,Australia,1991,60799.765
524,18527,Australia,1992,61812.43
525,18528,Australia,1993,63393.805
526,18529,Australia,1994,64920.612
527,18530,Australia,1995,68268.835
528,18531,Australia,1996,70152.429
529,18532,Australia,1997,71456.343
530,18533,Australia,1998,71652.783
531,18534,Australia,1999,72525.614
532,18535,Australia,2000,74127.582
533,18536,Australia,2001,74092.405
534,18537,Australia,2002,75623.85
535,18538,Australia,2003,78104.581
536,18539,Australia,2004,81175.757
537,18540,Australia,2005,82209.53
538,18541,Australia,2006,83501.809
539,18542,Australia,2007,85455.048
540,18543,Australia,2008,86516.893
541,18544,Australia,2009,87357.429
542,18545,Australia,2010,88811.047
543,18546,Australia,2011,91426.049
544,18547,Australia,2012,91959.942
545,18548,Australia,2013,92168.366
546,18549,Australia,2014,93257.196
547,18550,Australia,2015,95386.197
548,18551,Australia,2016,96545.465
549,18552,Australia,2017,98847.953
550,18553,Australia,2018,100795.815
551,19395,Australia,1990,15604.402
552,19396,Australia,1991,15770.107
553,19397,Australia,1992,16215.672
554,19398,Australia,1993,16671.072
555,19399,Australia,1994,16540.265
556,19400,Australia,1995,17156.228
557,19401,Australia,1996,17486.125
558,19402,Australia,1997,17677.445
559,19403,Australia,1998,17853.945
560,19404,Australia,1999,17837.279
561,19405,Australia,2000,18222.848
562,19406,Australia,2001,19055.644
563,19407,Australia,2002,19131.493
564,19408,Australia,2003,19734.66
565,19409,Australia,2004,19662.458
566,19410,Australia,2005,20076.927
567,19411,Australia,2006,20233.664
568,19412,Australia,2007,20072.377
569,19413,Australia,2008,20421.537
570,19414,Australia,2009,20596.653
571,19415,Australia,2010,20930.858
572,19416,Australia,2011,21346.482
573,19417,Australia,2012,21791.496
574,19418,Australia,2013,22215.291
575,19419,Australia,2014,22642.147
576,19420,Australia,2015,23272.183
577,19421,Australia,2016,24118.52
578,19422,Australia,2017,24669.127
579,19423,Australia,2018,24942.031
580,20062,Australia,1990,143099.584
581,20063,Australia,1991,146325.396
582,20064,Australia,1992,149649.859
583,20065,Australia,1993,151415.807
584,20066,Australia,1994,152237.519
585,20067,Australia,1995,158063.563
586,20068,Australia,1996,162661.869
587,20069,Australia,1997,169332.619
588,20070,Australia,1998,181993.334
589,20071,Australia,1999,189175.483
590,20072,Australia,2000,192159.281
591,20073,Australia,2001,199435.623
592,20074,Australia,2002,201652.522
593,20075,Australia,2003,205016.469
594,20076,Australia,2004,214117.797
595,20077,Australia,2005,216461.868
596,20078,Australia,2006,220963.939
597,20079,Australia,2007,224025.96
598,20080,Australia,2008,225794.988
599,20081,Australia,2009,232370.06
600,20082,Australia,2010,226451.679
